ADCMAP,1008,871
ADCMAP,1012,873
ADCMAP,1016,876
ADCMAP,1020,878
ADCMAP,1024,883
ADCMAP,1028,886
ADCMAP,1032,890
ADCMAP,1036,893
ADCMAP,1040,897
ADCMAP,1044,899
ADCMAP,1048,902
ADCMAP,1052,906
ADCMAP,1056,909
ADCMAP,1060,913
ADCMAP,1064,916
ADCMAP,1068,920
ADCMAP,1072,922
ADCMAP,1076,927
ADCMAP,1080,929
ADCMAP,1084,933
ADCMAP,1088,936
ADCMAP,1092,939
ADCMAP,1096,944
ADCMAP,1100,947
ADCMAP,1104,949
ADCMAP,1108,953
ADCMAP,1112,957
ADCMAP,1116,959
ADCMAP,1120,963
ADCMAP,1124,966
ADCMAP,1128,969
ADCMAP,1132,973
ADCMAP,1136,977
ADCMAP,1140,980
ADCMAP,1144,982
ADCMAP,1148,986
ADCMAP,1152,990
ADCMAP,1156,992
ADCMAP,1160,996
ADCMAP,1164,1000
ADCMAP,1168,1004
ADCMAP,1172,1007
ADCMAP,1176,1009
ADCMAP,1180,1013
ADCMAP,1184,1017
ADCMAP,1188,1020
ADCMAP,1192,1022
ADCMAP,1196,1026
ADCMAP,1200,1029
ADCMAP,1204,1034
ADCMAP,1208,1035
ADCMAP,1212,1039
ADCMAP,1216,1043
ADCMAP,1220,1047
ADCMAP,1224,1050
ADCMAP,1228,1054
ADCMAP,1232,1056
ADCMAP,1236,1059
ADCMAP,1240,1064
ADCMAP,1244,1066
ADCMAP,1248,1070
ADCMAP,1252,1073
ADCMAP,1256,1078
ADCMAP,1260,1079
ADCMAP,1264,1083
ADCMAP,1268,1086
ADCMAP,1272,1091
ADCMAP,1276,1093
ADCMAP,1280,1097
ADCMAP,1284,1100
ADCMAP,1288,1103
ADCMAP,1292,1107
ADCMAP,1296,1109
ADCMAP,1300,1114
ADCMAP,1304,1116
ADCMAP,1308,1120
ADCMAP,1312,1123
ADCMAP,1316,1127
ADCMAP,1320,1129
ADCMAP,1324,1133
ADCMAP,1328,1137
ADCMAP,1332,1141
ADCMAP,1336,1143
ADCMAP,1340,1147
ADCMAP,1344,1151
ADCMAP,1348,1153
ADCMAP,1352,1157
ADCMAP,1356,1160
ADCMAP,1360,1162
ADCMAP,1364,1166
ADCMAP,1368,1170
ADCMAP,1372,1173
ADCMAP,1376,1176
ADCMAP,1380,1179
ADCMAP,1384,1184
ADCMAP,1388,1186
ADCMAP,1392,1191
ADCMAP,1396,1194
ADCMAP,1400,1198
ADCMAP,1404,1201
ADCMAP,1408,1204
ADCMAP,1412,1206
ADCMAP,1416,1209
ADCMAP,1420,1214
ADCMAP,1424,1216
ADCMAP,1428,1220
ADCMAP,1432,1223
ADCMAP,1436,1228
ADCMAP,1440,1231
ADCMAP,1444,1233
ADCMAP,1448,1236
ADCMAP,1452,1241
ADCMAP,1456,1243
ADCMAP,1460,1248
ADCMAP,1464,1251
ADCMAP,1468,1253
ADCMAP,1472,1258
ADCMAP,1476,1260
ADCMAP,1480,1264
ADCMAP,1484,1267
ADCMAP,1488,1271
ADCMAP,1492,1274
ADCMAP,1496,1278
ADCMAP,1500,1280
ADCMAP,1504,1284
ADCMAP,1508,1287
ADCMAP,1512,1292
ADCMAP,1516,1294
ADCMAP,1520,1297
ADCMAP,1524,1300
ADCMAP,1528,1303
ADCMAP,1532,1308
ADCMAP,1536,1310
ADCMAP,1540,1315
ADCMAP,1544,1317
ADCMAP,1548,1321
ADCMAP,1552,1323
ADCMAP,1556,1328
ADCMAP,1560,1331
ADCMAP,1564,1335
ADCMAP,1568,1338
ADCMAP,1572,1341
ADCMAP,1576,1344
ADCMAP,1580,1348
ADCMAP,1584,1351
ADCMAP,1588,1353
ADCMAP,1592,1358
ADCMAP,1596,1361
ADCMAP,1600,1365
ADCMAP,1604,1367
ADCMAP,1608,1372
ADCMAP,1612,1374
ADCMAP,1616,1379
ADCMAP,1620,1381
ADCMAP,1624,1386
ADCMAP,1628,1387
ADCMAP,1632,1392
ADCMAP,1636,1395
ADCMAP,1640,1398
ADCMAP,1644,1401
ADCMAP,1648,1403
ADCMAP,1652,1409
ADCMAP,1656,1411
ADCMAP,1660,1415
ADCMAP,1664,1417
ADCMAP,1668,1422
ADCMAP,1672,1424
ADCMAP,1676,1428
ADCMAP,1680,1431
ADCMAP,1684,1435
ADCMAP,1688,1439
ADCMAP,1692,1442
ADCMAP,1696,1445
ADCMAP,1700,1447
ADCMAP,1704,1452
ADCMAP,1708,1455
ADCMAP,1712,1458
ADCMAP,1716,1462
ADCMAP,1720,1466
ADCMAP,1724,1468
ADCMAP,1728,1473
ADCMAP,1732,1474
ADCMAP,1736,1478
ADCMAP,1740,1483
ADCMAP,1744,1486
ADCMAP,1748,1488
ADCMAP,1752,1492
ADCMAP,1756,1496
ADCMAP,1760,1499
ADCMAP,1764,1502
ADCMAP,1768,1504
ADCMAP,1772,1508
ADCMAP,1776,1512
ADCMAP,1780,1516
ADCMAP,1784,1518
ADCMAP,1788,1523
ADCMAP,1792,1526
ADCMAP,1796,1529
ADCMAP,1800,1533
ADCMAP,1804,1536
ADCMAP,1808,1538
ADCMAP,1812,1543
ADCMAP,1816,1546
ADCMAP,1820,1549
ADCMAP,1824,1552
ADCMAP,1828,1555
ADCMAP,1832,1560
ADCMAP,1836,1562
ADCMAP,1840,1566
ADCMAP,1844,1569
ADCMAP,1848,1574
ADCMAP,1852,1577
ADCMAP,1856,1580
ADCMAP,1860,1582
ADCMAP,1864,1588
ADCMAP,1868,1590
ADCMAP,1872,1593
ADCMAP,1876,1596
ADCMAP,1880,1600
ADCMAP,1884,1604
ADCMAP,1888,1607
ADCMAP,1892,1610
ADCMAP,1896,1613
ADCMAP,1900,1617
ADCMAP,1904,1621
ADCMAP,1908,1624
ADCMAP,1912,1627
ADCMAP,1916,1630
ADCMAP,1920,1634
ADCMAP,1924,1637
ADCMAP,1928,1640
ADCMAP,1932,1643
ADCMAP,1936,1647
ADCMAP,1940,1650
ADCMAP,1944,1653
ADCMAP,1948,1656
ADCMAP,1952,1660
ADCMAP,1956,1664
ADCMAP,1960,1667
ADCMAP,1964,1670
ADCMAP,1968,1673
ADCMAP,1972,1677
ADCMAP,1976,1681
